"username,""src_ip"",host,""failed_attempts"""
"root,""171.15.129.101"",""brute-force-lab-base-vm-v1"",1305"
"root,""189.216.11.38"",""brute-force-lab-base-vm-v1"",521"
"root,""142.93.188.35"",""brute-force-lab-base-vm-v1"",124"
"root,""209.38.89.51"",""brute-force-lab-base-vm-v1"",112"
"root,""196.251.84.225"",""brute-force-lab-base-vm-v1"",93"
"root,""68.183.148.37"",""brute-force-lab-base-vm-v1"",93"
"admin,""103.126.172.10"",""brute-force-lab-base-vm-v1"",88"
"admin,""159.69.79.206"",""brute-force-lab-base-vm-v1"",88"
"root,""103.126.172.10"",""brute-force-lab-base-vm-v1"",88"
"root,""159.69.79.206"",""brute-force-lab-base-vm-v1"",88"
"root,""167.99.222.32"",""brute-force-lab-base-vm-v1"",83"
"admin,""127.0.0.1"",""brute-force-lab-base-vm-v1"",68"
"student,""127.0.0.1"",""brute-force-lab-base-vm-v1"",68"
"testuser,""127.0.0.1"",""brute-force-lab-base-vm-v1"",68"
"root,""103.95.120.39"",""brute-force-lab-base-vm-v1"",65"
"weakuser,""127.0.0.1"",""brute-force-lab-base-vm-v1"",64"
"root,""177.126.132.44"",""brute-force-lab-base-vm-v1"",62"
"root,""41.94.88.219"",""brute-force-lab-base-vm-v1"",61"
"root,""138.68.170.24"",""brute-force-lab-base-vm-v1"",60"
"root,""170.64.222.90"",""brute-force-lab-base-vm-v1"",56"
"root,""209.38.82.168"",""brute-force-lab-base-vm-v1"",56"
"root,""170.64.196.35"",""brute-force-lab-base-vm-v1"",55"
"root,""209.38.31.58"",""brute-force-lab-base-vm-v1"",55"
"root,""118.194.249.57"",""brute-force-lab-base-vm-v1"",54"
"root,""127.0.0.1"",""brute-force-lab-base-vm-v1"",54"
"root,""47.86.37.20"",""brute-force-lab-base-vm-v1"",54"
"root,""154.72.206.180"",""lab-1753662556-7ex61u"",51"
"root,""34.101.193.188"",""brute-force-lab-base-vm-v1"",48"
"root,""157.245.194.7"",""brute-force-lab-base-vm-v1"",47"
"root,""111.173.104.178"",""brute-force-lab-base-vm-v1"",34"
"root,""47.99.47.233"",""brute-force-lab-base-vm-v1"",29"
"admin,""193.32.162.157"",""brute-force-lab-base-vm-v1"",27"
"root,""182.215.66.232"",""brute-force-lab-base-vm-v1"",19"
"root,""127.0.0.1"",""lab-1753662556-7ex61u"",18"
"root,""92.205.224.122"",""brute-force-lab-base-vm-v1"",18"
"admin,""127.0.0.1"",""lab-1753662556-7ex61u"",17"
"student,""127.0.0.1"",""lab-1753662556-7ex61u"",17"
"testuser,""127.0.0.1"",""lab-1753662556-7ex61u"",17"
"admin,""182.215.66.232"",""brute-force-lab-base-vm-v1"",16"
"root,""219.77.222.7"",""brute-force-lab-base-vm-v1"",14"
"root,""47.239.236.43"",""brute-force-lab-base-vm-v1"",14"
"root,""80.94.95.116"",""brute-force-lab-base-vm-v1"",14"
"weakuser,""127.0.0.1"",""lab-1753662556-7ex61u"",14"
"root,""194.0.234.125"",""brute-force-lab-base-vm-v1"",13"
"root,""80.94.95.115"",""brute-force-lab-base-vm-v1"",13"
"admin,""196.251.84.225"",""brute-force-lab-base-vm-v1"",12"
"admin,""68.183.148.37"",""brute-force-lab-base-vm-v1"",12"
"admin,""80.94.95.115"",""brute-force-lab-base-vm-v1"",12"
"root,""103.160.88.134"",""brute-force-lab-base-vm-v1"",12"
"root,""185.156.73.233"",""brute-force-lab-base-vm-v1"",11"
"root,""8.222.212.69"",""brute-force-lab-base-vm-v1"",11"
"root,""80.255.149.149"",""brute-force-lab-base-vm-v1"",11"
"admin,""142.93.188.35"",""brute-force-lab-base-vm-v1"",10"
"admin,""209.38.89.51"",""brute-force-lab-base-vm-v1"",10"
"root,""106.12.32.205"",""brute-force-lab-base-vm-v1"",10"
"root,""198.12.114.232"",""brute-force-lab-base-vm-v1"",10"
"admin,""80.94.95.116"",""brute-force-lab-base-vm-v1"",9"
"root,""20.12.41.6"",""brute-force-lab-base-vm-v1"",9"
"root,""104.244.77.50"",""brute-force-lab-base-vm-v1"",8"
"root,""190.12.102.58"",""brute-force-lab-base-vm-v1"",8"
"root,""92.222.180.245"",""brute-force-lab-base-vm-v1"",8"
"root,""94.190.208.173"",""brute-force-lab-base-vm-v1"",8"
"www-data,""196.251.84.225"",""brute-force-lab-base-vm-v1"",7"
"www-data,""68.183.148.37"",""brute-force-lab-base-vm-v1"",7"
"root,""189.126.4.42"",""brute-force-lab-base-vm-v1"",6"
"root,""193.32.162.210"",""brute-force-lab-base-vm-v1"",6"
"root,""5.157.10.83"",""brute-force-lab-base-vm-v1"",6"
"admin,""116.105.218.149"",""brute-force-lab-base-vm-v1"",5"
"admin,""138.68.170.24"",""brute-force-lab-base-vm-v1"",5"
"admin,""154.72.206.180"",""lab-1753662556-7ex61u"",5"
"admin,""167.99.222.32"",""brute-force-lab-base-vm-v1"",5"
"admin,""170.64.222.90"",""brute-force-lab-base-vm-v1"",5"
"admin,""177.126.132.44"",""brute-force-lab-base-vm-v1"",5"
"admin,""185.156.73.234"",""brute-force-lab-base-vm-v1"",5"
"admin,""209.38.82.168"",""brute-force-lab-base-vm-v1"",5"
"admin,""34.101.193.188"",""brute-force-lab-base-vm-v1"",5"
"admin,""41.94.88.219"",""brute-force-lab-base-vm-v1"",5"
"admin,""47.86.37.20"",""brute-force-lab-base-vm-v1"",5"
"root,""107.189.11.181"",""brute-force-lab-base-vm-v1"",5"
"root,""128.199.183.223"",""brute-force-lab-base-vm-v1"",5"
"root,""180.246.240.153"",""brute-force-lab-base-vm-v1"",5"
"root,""185.156.73.234"",""brute-force-lab-base-vm-v1"",5"
"root,""194.0.234.19"",""brute-force-lab-base-vm-v1"",5"
"root,""195.178.110.160"",""brute-force-lab-base-vm-v1"",5"
"root,""195.178.110.160"",""incident-handling-and-response-part-2-1"",5"
"root,""210.114.22.126"",""brute-force-lab-base-vm-v1"",5"
"admin,""103.95.120.39"",""brute-force-lab-base-vm-v1"",4"
"admin,""118.194.249.57"",""brute-force-lab-base-vm-v1"",4"
"admin,""123.58.209.115"",""brute-force-lab-base-vm-v1"",4"
"admin,""185.156.73.233"",""brute-force-lab-base-vm-v1"",4"
"admin,""194.0.234.19"",""brute-force-lab-base-vm-v1"",4"
"admin,""209.38.31.58"",""brute-force-lab-base-vm-v1"",4"
"backup,""185.93.89.118"",""brute-force-lab-base-vm-v1"",4"
"daemon,""185.93.89.118"",""brute-force-lab-base-vm-v1"",4"
"root,""111.67.201.36"",""brute-force-lab-base-vm-v1"",4"
"root,""113.193.234.210"",""brute-force-lab-base-vm-v1"",4"
"root,""136.232.11.10"",""brute-force-lab-base-vm-v1"",4"
"root,""148.222.199.18"",""brute-force-lab-base-vm-v1"",4"
"root,""157.245.88.137"",""brute-force-lab-base-vm-v1"",4"
"root,""38.188.201.230"",""brute-force-lab-base-vm-v1"",4"
"testuser,""196.251.84.225"",""brute-force-lab-base-vm-v1"",4"
"testuser,""209.38.89.51"",""brute-force-lab-base-vm-v1"",4"
"testuser,""68.183.148.37"",""brute-force-lab-base-vm-v1"",4"
