index=main sourcetype=linux_secure "Failed password"
| rex field=_raw "Failed password for (?<username>\S+) from (?<src_ip>\S+)"
| bucket _time span=5m
| stats count by _time, src_ip, username
| where count >= 3
| eval severity="Medium", attack_type="Brute Force"
| table _time, src_ip, username, count, severity, attack_type


"_time","src_ip",username,count,severity,"attack_type"
"2025-06-11T13:00:00.000+00:00","127.0.0.1",admin,14,Medium,"Brute Force"
"2025-06-11T13:00:00.000+00:00","127.0.0.1",student,17,Medium,"Brute Force"
"2025-06-11T13:05:00.000+00:00","127.0.0.1",admin,3,Medium,"Brute Force"
"2025-06-11T13:05:00.000+00:00","127.0.0.1",testuser,17,Medium,"Brute Force"
"2025-06-11T13:05:00.000+00:00","127.0.0.1",weakuser,16,Medium,"Brute Force"
"2025-06-11T13:10:00.000+00:00","127.0.0.1",root,18,Medium,"Brute Force"
"2025-06-11T13:50:00.000+00:00","47.239.236.43",root,14,Medium,"Brute Force"
"2025-06-11T14:20:00.000+00:00","34.101.193.188",root,6,Medium,"Brute Force"
"2025-06-11T14:25:00.000+00:00","34.101.193.188",root,13,Medium,"Brute Force"
"2025-06-11T14:30:00.000+00:00","34.101.193.188",root,12,Medium,"Brute Force"
"2025-06-11T14:35:00.000+00:00","209.38.82.168",root,10,Medium,"Brute Force"
"2025-06-11T14:35:00.000+00:00","34.101.193.188",root,14,Medium,"Brute Force"
"2025-06-11T14:40:00.000+00:00","209.38.82.168",root,15,Medium,"Brute Force"
"2025-06-11T14:40:00.000+00:00","34.101.193.188",root,3,Medium,"Brute Force"
"2025-06-11T14:45:00.000+00:00","209.38.82.168",root,15,Medium,"Brute Force"
"2025-06-11T14:50:00.000+00:00","209.38.82.168",root,15,Medium,"Brute Force"
"2025-06-11T15:00:00.000+00:00","92.205.224.122",root,15,Medium,"Brute Force"
"2025-06-11T15:05:00.000+00:00","92.205.224.122",root,3,Medium,"Brute Force"
"2025-06-11T15:25:00.000+00:00","104.244.77.50",root,4,Medium,"Brute Force"
"2025-06-11T16:10:00.000+00:00","103.126.172.10",root,23,Medium,"Brute Force"
"2025-06-11T16:15:00.000+00:00","103.126.172.10",root,65,Medium,"Brute Force"
"2025-06-11T16:40:00.000+00:00","103.126.172.10",admin,61,Medium,"Brute Force"
"2025-06-11T16:45:00.000+00:00","103.126.172.10",admin,26,Medium,"Brute Force"
"2025-06-11T17:25:00.000+00:00","111.173.104.178",root,11,Medium,"Brute Force"
"2025-06-11T17:30:00.000+00:00","111.173.104.178",root,23,Medium,"Brute Force"
"2025-06-11T18:55:00.000+00:00","159.69.79.206",root,8,Medium,"Brute Force"
"2025-06-11T19:00:00.000+00:00","159.69.79.206",root,78,Medium,"Brute Force"
"2025-06-11T19:20:00.000+00:00","159.69.79.206",admin,44,Medium,"Brute Force"
"2025-06-11T19:25:00.000+00:00","159.69.79.206",admin,44,Medium,"Brute Force"
"2025-06-11T19:35:00.000+00:00","8.222.212.69",root,11,Medium,"Brute Force"
"2025-06-11T21:40:00.000+00:00","103.95.120.39",admin,4,Medium,"Brute Force"
"2025-06-11T21:40:00.000+00:00","103.95.120.39",root,65,Medium,"Brute Force"
